Mark ID,Mark Name,Timestamp,CPU Usage %,
0,"Start of Program","0,00",0,
1,"VSPXAutoMark","500,00",5,
2,"VSPXAutoMark","1 000,00",20,
3,"VSPXAutoMark","1 500,00",19,
4,"VSPXAutoMark","2 000,00",22,
5,"VSPXAutoMark","2 500,00",25,
6,"VSPXAutoMark","3 000,00",23,
7,"VSPXAutoMark","3 500,00",23,
8,"VSPXAutoMark","4 000,00",23,
9,"VSPXAutoMark","4 500,00",23,
10,"VSPXAutoMark","5 000,00",20,
11,"VSPXAutoMark","5 500,00",11,
12,"VSPXAutoMark","6 000,00",25,
13,"VSPXAutoMark","6 500,00",43,
14,"VSPXAutoMark","7 000,00",59,
15,"VSPXAutoMark","7 500,00",51,
16,"VSPXAutoMark","8 000,00",54,
17,"VSPXAutoMark","8 500,00",55,
18,"VSPXAutoMark","9 000,00",60,
19,"VSPXAutoMark","9 500,00",64,
20,"VSPXAutoMark","10 000,00",58,
21,"VSPXAutoMark","10 500,00",57,
22,"VSPXAutoMark","11 000,00",63,
23,"VSPXAutoMark","11 500,00",62,
24,"VSPXAutoMark","12 000,00",58,
25,"VSPXAutoMark","12 500,00",58,
26,"VSPXAutoMark","13 000,00",65,
27,"VSPXAutoMark","13 500,00",63,
28,"VSPXAutoMark","14 000,00",56,
29,"VSPXAutoMark","14 500,00",63,
30,"VSPXAutoMark","15 000,00",63,
31,"VSPXAutoMark","15 500,00",62,
4294967295,"End of Program","15 711,14",0,
32,"VSPXAutoMark","15 711,14",0,
